,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
0,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
1,stations,76.0,200,-46.13,167.69,1541024685.0,2180815.0,1002.99,100.0,1002.99,1028.72,47.09,47.09,47.09,,Tuatapere,,,NZ,,0.0033,1540920388.0,1540971600.0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",267.501,,18.19
2,stations,0.0,200,-54.81,-68.31,1541024685.0,3833367.0,982.48,63.0,982.48,1027.91,46.55,46.55,46.55,,Ushuaia,,,AR,,0.0045,1540975482.0,1541029810.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",306.501,,13.71
3,stations,64.0,200,61.28,108.01,1541024685.0,2012956.0,981.59,73.0,981.59,1022.64,29.95,29.95,29.95,,Yerbogachen,,,RU,,0.003,1540944874.0,1540975648.0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",234.501,,10.36
4,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
5,stations,0.0,200,-53.16,-70.91,1541019600.0,3874787.0,,34.0,1016.0,,53.6,53.6,53.6,,Punta Arenas,,,CL,4642.0,0.0039,1540976439.0,1541030095.0,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",250.0,,24.16
6,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
7,stations,0.0,200,-22.97,-42.02,1541019600.0,3471451.0,,73.0,1013.0,,77.0,77.0,77.0,,Arraial do Cabo,,,BR,4469.0,0.005,1540972969.0,1541019643.0,1.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",90.0,,23.04
8,stations,80.0,200,-3.28,30.97,1541024687.0,158563.0,875.24,98.0,875.24,1023.9,62.17,62.17,62.17,,Kakonko,,2.29,TZ,,0.0038,1540956771.0,1541000790.0,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",219.001,,4.99
9,stations,75.0,200,-23.13,150.74,1541023200.0,2142316.0,,83.0,1021.0,,75.2,75.2,75.2,,Yeppoon,,,AU,8175.0,0.0036,1540926715.0,1540973375.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",120.0,,9.17
